,Team_Name,Year,Wins,Losses,WL%
357,Atlanta Hawks,1977,31,51,.378
358,divs_standings_W 1977,1977,W,L,W/L%
359,Denver Nuggets,1977,50,32,.610
360,Detroit Pistons,1977,44,38,.537
361,Chicago Bulls,1977,44,38,.537
362,Kansas City Kings,1977,40,42,.488
363,Indiana Pacers,1977,36,46,.439
364,Milwaukee Bucks,1977,30,52,.366
365,Los Angeles Lakers,1977,53,29,.646
366,Portland Trail Blazers,1977,49,33,.598
367,Golden State Warriors,1977,46,36,.561
368,Seattle SuperSonics,1977,40,42,.488
369,Phoenix Suns,1977,34,48,.415
370,divs_standings_E 1978,1978,W,L,W/L%
371,Philadelphia 76ers,1978,55,27,.671
372,New York Knicks,1978,43,39,.524
373,Boston Celtics,1978,32,50,.390
374,Buffalo Braves,1978,27,55,.329
375,New Jersey Nets,1978,24,58,.293
376,San Antonio Spurs,1978,52,30,.634
377,Washington Bullets,1978,44,38,.537
378,Cleveland Cavaliers,1978,43,39,.524
379,Atlanta Hawks,1978,41,41,.500
380,New Orleans Jazz,1978,39,43,.476
381,Houston Rockets,1978,28,54,.341
382,divs_standings_W 1978,1978,W,L,W/L%
383,Denver Nuggets,1978,48,34,.585
384,Milwaukee Bucks,1978,44,38,.537
385,Chicago Bulls,1978,40,42,.488
386,Detroit Pistons,1978,38,44,.463
387,Kansas City Kings,1978,31,51,.378
388,Indiana Pacers,1978,31,51,.378
389,Portland Trail Blazers,1978,58,24,.707
390,Phoenix Suns,1978,49,33,.598
391,Seattle SuperSonics,1978,47,35,.573
392,Los Angeles Lakers,1978,45,37,.549
393,Golden State Warriors,1978,43,39,.524
394,divs_standings_E 1979,1979,W,L,W/L%
395,Washington Bullets,1979,54,28,.659
396,Philadelphia 76ers,1979,47,35,.573
397,New Jersey Nets,1979,37,45,.451
398,New York Knicks,1979,31,51,.378
399,Boston Celtics,1979,29,53,.354
400,San Antonio Spurs,1979,48,34,.585
401,Houston Rockets,1979,47,35,.573
402,Atlanta Hawks,1979,46,36,.561
403,Detroit Pistons,1979,30,52,.366
404,Cleveland Cavaliers,1979,30,52,.366
405,New Orleans Jazz,1979,26,56,.317
406,divs_standings_W 1979,1979,W,L,W/L%
407,Kansas City Kings,1979,48,34,.585
408,Denver Nuggets,1979,47,35,.573
409,Milwaukee Bucks,1979,38,44,.463
410,Indiana Pacers,1979,38,44,.463
411,Chicago Bulls,1979,31,51,.378
412,Seattle SuperSonics,1979,52,30,.634
413,Phoenix Suns,1979,50,32,.610
414,Los Angeles Lakers,1979,47,35,.573
415,Portland Trail Blazers,1979,45,37,.549
416,San Diego Clippers,1979,43,39,.524
417,Golden State Warriors,1979,38,44,.463
418,divs_standings_E 1980,1980,W,L,W/L%
419,Boston Celtics,1980,61,21,.744
420,Philadelphia 76ers,1980,59,23,.720
421,Washington Bullets,1980,39,43,.476
422,New York Knicks,1980,39,43,.476
423,New Jersey Nets,1980,34,48,.415
424,Atlanta Hawks,1980,50,32,.610
425,Houston Rockets,1980,41,41,.500
426,San Antonio Spurs,1980,41,41,.500
427,Indiana Pacers,1980,37,45,.451
428,Cleveland Cavaliers,1980,37,45,.451
429,Detroit Pistons,1980,16,66,.195
430,divs_standings_W 1980,1980,W,L,W/L%
431,Milwaukee Bucks,1980,49,33,.598
432,Kansas City Kings,1980,47,35,.573
433,Denver Nuggets,1980,30,52,.366
434,Chicago Bulls,1980,30,52,.366
435,Utah Jazz,1980,24,58,.293
436,Los Angeles Lakers,1980,60,22,.732
437,Seattle SuperSonics,1980,56,26,.683
438,Phoenix Suns,1980,55,27,.671
439,Portland Trail Blazers,1980,38,44,.463
440,San Diego Clippers,1980,35,47,.427
441,Golden State Warriors,1980,24,58,.293
442,divs_standings_E 1981,1981,W,L,W/L%
443,Boston Celtics,1981,62,20,.756
444,Philadelphia 76ers,1981,62,20,.756
445,New York Knicks,1981,50,32,.610
446,Washington Bullets,1981,39,43,.476
447,New Jersey Nets,1981,24,58,.293
448,Milwaukee Bucks,1981,60,22,.732
449,Chicago Bulls,1981,45,37,.549
450,Indiana Pacers,1981,44,38,.537
451,Atlanta Hawks,1981,31,51,.378
452,Cleveland Cavaliers,1981,28,54,.341
453,Detroit Pistons,1981,21,61,.256
454,divs_standings_W 1981,1981,W,L,W/L%
455,San Antonio Spurs,1981,52,30,.634
456,Kansas City Kings,1981,40,42,.488
457,Houston Rockets,1981,40,42,.488
458,Denver Nuggets,1981,37,45,.451
459,Utah Jazz,1981,28,54,.341
460,Dallas Mavericks,1981,15,67,.183
461,Phoenix Suns,1981,57,25,.695
462,Los Angeles Lakers,1981,54,28,.659
463,Portland Trail Blazers,1981,45,37,.549
464,Golden State Warriors,1981,39,43,.476
465,San Diego Clippers,1981,36,46,.439
466,Seattle SuperSonics,1981,34,48,.415
467,divs_standings_E 1982,1982,W,L,W/L%
468,Boston Celtics,1982,63,19,.768
469,Philadelphia 76ers,1982,58,24,.707
470,New Jersey Nets,1982,44,38,.537
